author,auto,chosen.values,rejected.values
Fri Mar 12 2021 15:42:20 GMT+0000 (Greenwich Mean Time),true,"[93.86079860194938,30.310926510132834,60.39315020230004,79.85247013752183,98.06517229776479,44.95857993797496,42.89534090025732,31.905474498654982,92.90707528761772,4.458090808680835,76.47391715611386,53.88295012658838,88.10013969140425,82.80154667336063,74.31348424291974,26.289536398089624]","[83.38176837371363,29.796793041743754,58.06906471365351,78.34921996349667,85.02985858055587,18.980447770984973,51.63936406826863,28.63689665547729,83.21590562691185,-3.0719460198471538,94.96548975331416,56.83026822310991,76.65343705913928,93.00646649402688,78.50612482614399,40.78550211054206]"
Fri Mar 12 2021 15:42:20 GMT+0000 (Greenwich Mean Time),true,"[93.86079860194938,30.310926510132834,60.39315020230004,79.85247013752183,98.06517229776479,44.95857993797496,42.89534090025732,31.905474498654982,92.90707528761772,4.458090808680835,76.47391715611386,53.88295012658838,88.10013969140425,82.80154667336063,74.31348424291974,26.289536398089624]","[107.68750583456743,22.640671055093875,64.23877326482449,83.70049996844294,111.08661362249596,59.74389847756663,44.66891785380423,16.169420128686234,89.48992986169594,7.175997144250022,72.02705103105778,39.20983451141223,81.21154136953515,65.21216981325489,80.80565084335957,15.824599178672916]"
Fri Mar 12 2021 15:42:20 GMT+0000 (Greenwich Mean Time),true,"[93.86079860194938,30.310926510132834,60.39315020230004,79.85247013752183,98.06517229776479,44.95857993797496,42.89534090025732,31.905474498654982,92.90707528761772,4.458090808680835,76.47391715611386,53.88295012658838,88.10013969140425,82.80154667336063,74.31348424291974,26.289536398089624]","[88.87068636291174,29.484338920107113,58.29794194573419,84.4820794754321,81.23123502109006,58.1162023568626,61.53051574291744,36.38496437791635,92.21392945637301,-1.5419594444537088,93.01911498073304,66.43480325162689,91.25732444855926,104.43123363152158,87.01986277864634,31.398081834040802]"
Fri Mar 12 2021 15:42:20 GMT+0000 (Greenwich Mean Time),true,"[93.86079860194938,30.310926510132834,60.39315020230004,79.85247013752183,98.06517229776479,44.95857993797496,42.89534090025732,31.905474498654982,92.90707528761772,4.458090808680835,76.47391715611386,53.88295012658838,88.10013969140425,82.80154667336063,74.31348424291974,26.289536398089624]","[115.8106277916019,39.1178112528024,86.86323538357851,66.61344377848917,88.9462554805914,43.61389567009298,29.60591106488217,34.133005336325354,74.03932877083196,4.033619007342145,72.09565668079564,54.52210311571443,81.33418397949485,69.32531708185063,60.784788218143206,12.230621601833079]"
Fri Mar 12 2021 15:42:20 GMT+0000 (Greenwich Mean Time),true,"[93.86079860194938,30.310926510132834,60.39315020230004,79.85247013752183,98.06517229776479,44.95857993797496,42.89534090025732,31.905474498654982,92.90707528761772,4.458090808680835,76.47391715611386,53.88295012658838,88.10013969140425,82.80154667336063,74.31348424291974,26.289536398089624]","[85.90727691102718,32.26351534856777,77.17739571566057,78.74194552602329,102.73525026485653,39.6045547164486,35.41930358090831,25.792468276037383,89.69424923249359,-5.378908880327259,98.21051097047435,73.26641381170136,69.18955760159525,87.4882665161091,75.70250834924192,22.615319763177542]"
Fri Mar 12 2021 15:42:20 GMT+0000 (Greenwich Mean Time),true,"[93.86079860194938,30.310926510132834,60.39315020230004,79.85247013752183,98.06517229776479,44.95857993797496,42.89534090025732,31.905474498654982,92.90707528761772,4.458090808680835,76.47391715611386,53.88295012658838,88.10013969140425,82.80154667336063,74.31348424291974,26.289536398089624]","[104.53513579883206,20.38405250255847,51.958185106515685,59.714310625463895,110.73562075976375,47.04467240733878,24.99955603842945,26.9824590711547,106.28027869928468,19.087474668993963,86.12435924777535,49.11503383651626,88.38262736106506,60.85314798176892,70.90241292733846,20.632834057961794]"
Fri Mar 12 2021 15:42:20 GMT+0000 (Greenwich Mean Time),true,"[93.86079860194938,30.310926510132834,60.39315020230004,79.85247013752183,98.06517229776479,44.95857993797496,42.89534090025732,31.905474498654982,92.90707528761772,4.458090808680835,76.47391715611386,53.88295012658838,88.10013969140425,82.80154667336063,74.31348424291974,26.289536398089624]","[96.22394744935652,37.558384059767974,65.96891096129478,75.23637147037381,86.19732948105045,63.05350048108204,41.88515038681164,43.07344401023464,107.03414012172213,-2.488105257591097,60.5172597506069,58.13533620760225,85.96599429277322,96.24917900228037,83.38095169290382,12.551983976549577]"
Fri Mar 12 2021 15:42:20 GMT+0000 (Greenwich Mean Time),false,"[93.86079860194938,30.310926510132834,60.39315020230004,79.85247013752183,98.06517229776479,44.95857993797496,42.89534090025732,31.905474498654982,92.90707528761772,4.458090808680835,76.47391715611386,53.88295012658838,88.10013969140425,82.80154667336063,74.31348424291974,26.289536398089624]","[96.50683991328857,33.615724163421696,78.5446742764957,69.57928698040257,99.26185527943862,52.13611305915939,43.60500638069306,38.53240089454668,78.5978042915622,2.4054094765213367,76.66265326016165,63.8298384579023,73.62799037718564,93.27908725893214,78.51569647004769,27.437614210784826]"
Fri Mar 12 2021 15:42:20 GMT+0000 (Greenwich Mean Time),true,"[93.86079860194938,30.310926510132834,60.39315020230004,79.85247013752183,98.06517229776479,44.95857993797496,42.89534090025732,31.905474498654982,92.90707528761772,4.458090808680835,76.47391715611386,53.88295012658838,88.10013969140425,82.80154667336063,74.31348424291974,26.289536398089624]","[90.96506447121297,30.27801379522023,57.84697306913952,89.28679905019477,86.31403375392316,63.33836025720855,46.71733048415142,27.976012265893797,104.99606142677574,1.418479910657266,75.27412263854599,47.55458523915092,92.19365733281677,84.37323716078868,68.27231116771948,28.95163400374685]"
Fri Mar 12 2021 15:42:20 GMT+0000 (Greenwich Mean Time),true,"[93.86079860194938,30.310926510132834,60.39315020230004,79.85247013752183,98.06517229776479,44.95857993797496,42.89534090025732,31.905474498654982,92.90707528761772,4.458090808680835,76.47391715611386,53.88295012658838,88.10013969140425,82.80154667336063,74.31348424291974,26.289536398089624]","[90.0677192363978,22.815622838286977,54.20243577121096,77.11341416731732,93.86353857347189,67.07283136580193,64.86678773834001,17.878998988436557,96.02427038336835,-10.308792852684334,81.23230716065942,66.20815510976763,90.01508828117599,73.6368115152951,84.99771045041652,40.74108499191826]"
